centerPathDist,indPathDist,ForagingIntake,foraginIntakeSD,GroupSize,influenceType,path,corePer,PathFood,pathWidth
79.25622147,216.3910166,0.502881111,0.032147546,50,2,2,0.9,0.001,25
142.9374027,249.0755638,0.406683333,0.038238709,50,2,4,0.9,0.001,25
268.8755269,300.6552584,0.443257778,0.032692001,50,2,8,0.9,0.001,25
9999,9999,0.212602222,0.010981435,50,2,0,0.1,0.001,25
391.971087,392.1747415,0.218068889,0.014257481,50,2,1,0.1,0.001,25
99.67495682,105.7041886,0.24958,0.011152241,50,2,2,0.1,0.001,25
317.6784263,318.00446,0.246051111,0.011669956,50,2,4,0.1,0.001,25
253.2373794,255.4240675,0.2133,0.010974208,50,2,8,0.1,0.001,25
9999,9999,0.431151111,0.032268184,50,2,0,0.9,0.001,25
161.7828534,179.0761789,0.46296,0.031424137,50,2,1,0.9,0.001,25
102.4300529,179.3053945,0.474515556,0.03075826,50,2,2,0.9,0.001,25
196.757053,235.4073364,0.470767778,0.031718024,50,2,4,0.9,0.001,25
201.403769,253.9467666,0.388426667,0.039216462,50,2,8,0.9,0.001,25
9999,9999,0.25021,0.013494324,50,2,0,0.1,0.001,25
169.1092563,180.0419796,0.400336667,0.010863935,50,2,1,0.1,0.001,25
104.4608421,108.5617992,0.248532222,0.011655874,50,2,2,0.1,0.001,25
284.3015899,287.5552568,0.273046667,0.01298853,50,2,4,0.1,0.001,25
228.7541393,227.9052659,0.247427778,0.012739074,50,2,8,0.1,0.001,25
9999,9999,0.47332,0.02755985,50,2,0,0.9,0.001,25
156.8757627,180.8596614,0.452062222,0.030814929,50,2,1,0.9,0.001,25
122.6534646,168.3101009,0.46066,0.039936806,50,2,2,0.9,0.001,25
250.069913,313.9108228,0.478248889,0.022957221,50,2,4,0.9,0.001,25
196.7185457,280.8819935,0.411304444,0.040016634,50,2,8,0.9,0.001,25
9999,9999,0.229023333,0.011517804,50,2,0,0.1,0.001,25
158.3984023,167.5713196,0.385144444,0.013602695,50,2,1,0.1,0.001,25
153.1119345,158.1269145,0.29456,0.013459237,50,2,2,0.1,0.001,25
293.4613298,296.1510857,0.281692222,0.013985257,50,2,4,0.1,0.001,25
200.3497396,202.0291853,0.180283333,0.010118157,50,2,8,0.1,0.001,25
9999,9999,0.435068889,0.032343197,50,2,0,0.9,0.001,25
127.8124838,213.1658921,0.504468889,0.02265264,50,2,1,0.9,0.001,25
113.3759811,261.5476525,0.473676667,0.038557774,50,2,2,0.9,0.001,25
218.1846829,299.0817201,0.451558889,0.0362368,50,2,4,0.9,0.001,25
234.8978216,225.2254398,0.474766667,0.028672628,50,2,8,0.9,0.001,25
9999,9999,0.252205556,0.012730728,50,2,0,0.1,0.001,25
826.5199551,827.9548472,0.25898,0.013776996,50,2,1,0.1,0.001,25
219.1311785,223.3327674,0.303231111,0.012227143,50,2,2,0.1,0.001,25
365.8051999,366.50591,0.23865,0.013649358,50,2,4,0.1,0.001,25
