centerPathDist,indPathDist,ForagingIntake,foraginIntakeSD,GroupSize,influenceType,path,corePer,PathFood,pathWidth,steps,
9999,9999,0.455545556,0.027210104,50,2,0,0.9,0.001,25,18000,233
125.4983104,198.697213,0.457411111,0.029711852,50,2,1,0.9,0.001,25,18000,234
75.89884644,252.9295621,0.491618889,0.031152279,50,2,2,0.9,0.001,25,18000,235
190.3577695,218.8576668,0.504125556,0.026087865,50,2,4,0.9,0.001,25,18000,236
119.4383575,229.6772854,0.478523333,0.028482028,50,2,8,0.9,0.001,25,18000,237
9999,9999,0.221684444,0.012848342,50,2,0,0.1,0.001,25,18000,238
234.3639379,237.0690822,0.257735556,0.013942717,50,2,1,0.1,0.001,25,18000,239
286.2347954,288.5226968,0.255773333,0.011472878,50,2,2,0.1,0.001,25,18000,240
171.3683079,175.6028397,0.298042222,0.013800424,50,2,4,0.1,0.001,25,18000,241
305.4903332,307.6700302,0.218253333,0.011449334,50,2,8,0.1,0.001,25,18000,242
9999,9999,0.398401111,0.035332643,50,2,0,0.9,0.001,25,18000,243
166.8549701,199.6609527,0.489801111,0.026453086,50,2,1,0.9,0.001,25,18000,244
157.9679795,249.8042343,0.482897778,0.034754078,50,2,2,0.9,0.001,25,18000,245
164.8140042,246.5240831,0.44076,0.03428619,50,2,4,0.9,0.001,25,18000,246
221.0461428,223.3476691,0.463322222,0.027682417,50,2,8,0.9,0.001,25,18000,247
9999,9999,0.158707778,0.008739134,50,2,0,0.1,0.001,25,18000,248
215.166779,217.463406,0.262804444,0.014026949,50,2,1,0.1,0.001,25,18000,249
449.5024287,449.9662559,0.232366667,0.012447802,50,2,2,0.1,0.001,25,18000,250
250.1183696,251.2897742,0.253171111,0.012904603,50,2,4,0.1,0.001,25,18000,251
138.2371217,138.9943153,0.159038889,0.008861737,50,2,8,0.1,0.001,25,18000,252
9999,9999,0.45506,0.027060055,50,2,0,0.9,0.001,25,18000,253
318.4490214,305.8983168,0.447721111,0.029753879,50,2,1,0.9,0.001,25,18000,254
72.0224783,207.4131275,0.454288889,0.043228073,50,2,2,0.9,0.001,25,18000,255
215.8647763,270.2047896,0.475874444,0.035853221,50,2,4,0.9,0.001,25,18000,256
168.259728,228.3869029,0.447093333,0.032566191,50,2,8,0.9,0.001,25,18000,257
9999,9999,0.119341111,0.007463092,50,2,0,0.1,0.001,25,18000,258
311.2200088,312.6940887,0.222516667,0.010917533,50,2,1,0.1,0.001,25,18000,259
630.6202945,630.9615656,0.187346667,0.009919618,50,2,2,0.1,0.001,25,18000,260
527.7083929,528.3909345,0.199866667,0.011818436,50,2,4,0.1,0.001,25,18000,261
618.3140321,617.7636739,0.116407778,0.00674043,50,2,8,0.1,0.001,25,18000,262
9999,9999,0.454927778,0.026535626,50,2,0,0.9,0.001,25,18000,263
403.9193434,389.728555,0.460502222,0.027259805,50,2,1,0.9,0.001,25,18000,264
172.9707884,241.4034792,0.465677778,0.03720309,50,2,2,0.9,0.001,25,18000,265
127.5537282,330.1675588,0.445124444,0.033070665,50,2,4,0.9,0.001,25,18000,266
188.1098868,220.6636572,0.445673333,0.032419087,50,2,8,0.9,0.001,25,18000,267
9999,9999,0.20216,0.011468988,50,2,0,0.1,0.001,25,18000,268
84.74171858,94.24448307,0.365205556,0.012263242,50,2,1,0.1,0.001,25,18000,269
356.6286565,359.1460547,0.300473333,0.015170867,50,2,2,0.1,0.001,25,18000,270
251.2912191,254.0205551,0.265683333,0.011823979,50,2,4,0.1,0.001,25,18000,271
172.4301936,175.7801788,0.248894444,0.011995801,50,2,8,0.1,0.001,25,18000,272
9999,9999,0.410497778,0.038045442,50,2,0,0.9,0.001,25,18000,273
237.3876091,247.5283018,0.48889,0.025270258,50,2,1,0.9,0.001,25,18000,274
201.9459734,300.6679186,0.479563333,0.034430286,50,2,2,0.9,0.001,25,18000,275
147.2658169,248.1874139,0.460982222,0.031164406,50,2,4,0.9,0.001,25,18000,276
246.1848216,299.884246,0.396392222,0.037507218,50,2,8,0.9,0.001,25,18000,277
9999,9999,0.24538,0.013006995,50,2,0,0.1,0.001,25,18000,278
545.6386104,546.3728259,0.22402,0.011220381,50,2,1,0.1,0.001,25,18000,279
310.2123848,312.2756636,0.25487,0.014127418,50,2,2,0.1,0.001,25,18000,280
288.3788497,289.2344212,0.237354444,0.013308946,50,2,4,0.1,0.001,25,18000,281
365.9201577,367.8414824,0.23799,0.012603132,50,2,8,0.1,0.001,25,18000,282
9999,9999,0.442355556,0.025016127,50,2,0,0.9,0.001,25,18000,283
283.8364403,288.8459221,0.493205556,0.024075568,50,2,1,0.9,0.001,25,18000,284
203.8115577,253.8227422,0.502697778,0.026131756,50,2,2,0.9,0.001,25,18000,285
170.4811541,231.3624067,0.498374444,0.024425583,50,2,4,0.9,0.001,25,18000,286
165.9304788,196.3652255,0.463167778,0.030864759,50,2,8,0.9,0.001,25,18000,287
9999,9999,0.235092222,0.013189456,50,2,0,0.1,0.001,25,18000,288
137.8171563,147.0530212,0.378131111,0.012170928,50,2,1,0.1,0.001,25,18000,289
525.5690791,526.4700498,0.177506667,0.009378165,50,2,2,0.1,0.001,25,18000,290
414.5425445,415.1004341,0.262927778,0.012412307,50,2,4,0.1,0.001,25,18000,291
212.6950742,215.2091478,0.25721,0.012839392,50,2,8,0.1,0.001,25,18000,292
9999,9999,0.375322222,0.034125969,50,2,0,0.9,0.001,25,18000,293
198.24252,234.2250249,0.486355556,0.025289604,50,2,1,0.9,0.001,25,18000,294
184.7138767,181.6790814,0.495667778,0.033035117,50,2,2,0.9,0.001,25,18000,295
181.6681264,286.4927809,0.464375556,0.02660581,50,2,4,0.9,0.001,25,18000,296
254.5960329,250.1922106,0.491851111,0.025066991,50,2,8,0.9,0.001,25,18000,297
9999,9999,0.210487778,0.011463425,50,2,0,0.1,0.001,25,18000,298
503.456147,503.3905541,0.266783333,0.015424546,50,2,1,0.1,0.001,25,18000,299
550.5643808,551.1262796,0.226813333,0.012704918,50,2,2,0.1,0.001,25,18000,300
428.4361805,429.4922094,0.229712222,0.011671215,50,2,4,0.1,0.001,25,18000,301
